last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Locastro, Tim,641796,56,17.3,39.3,108.1,85.6,88.7,81.5,427,171,400,12,8.9,21.4,1,1.8,1.2
Chirinos, Robinson,455139,54,13.8,25.9,105.4,84.5,91.4,78.6,395,148,395,13,8.7,24.1,1,1.9,1.2
Straw, Myles,664702,60,15.9,36.7,102.6,87.4,89,85.4,405,191,,13,8.6,21.7,1,1.7,1.2
Haseley, Adam,656514,66,0.3,34.8,105.7,86.6,90.8,83.4,375,137,,21,13.3,31.8,1,1.5,1.1
Mercado, Oscar,640458,61,14.4,18.0,110.8,88.2,89.9,91.1,371,151,371,20,11.2,32.8,1,1.6,1.1
Robles, Victor,645302,118,19,37.3,109.2,82.2,86.3,78.2,385,167,376,27,7.3,22.9,2,1.7,1.1
Lopez, Nicky,670032,131,1.4,30.5,104.6,84.9,91.2,81,396,133,396,35,10.6,26.7,2,1.5,1.0
Fuentes, Joshua,658069,71,10.6,39.4,103.9,84,86.2,82.2,410,156,399,17,8.1,23.9,1,1.4,1.0
Villar, Jonathan,542340,134,1.6,18.7,111.1,86.7,91,86.3,429,114,419,48,11.6,35.8,2,1.5,1.0
Barnes, Austin,605131,65,16.2,21.5,105.4,86.9,91.8,84.2,419,152,419,23,13.1,35.4,1,1.5,1.0
Wade, Tyler,642180,68,13.4,30.9,105.5,86.6,91.3,84.7,383,163,369,19,11.4,27.9,1,1.5,1.0
Rengifo, Luis,650859,66,3.8,21.2,108,87.6,91,87.5,422,112,422,22,12.0,33.3,1,1.5,0.9
Holt, Brock,571788,72,10.5,27.8,101.5,84,87.7,80.2,380,154,,13,6.7,18.1,1,1.4,0.9
Calhoun, Willie,641432,85,14.4,25.9,106.6,89.3,90.5,92.4,371,154,371,33,17.9,38.8,1,1.2,0.9
Tauchman, Mike,643565,70,10.6,34.3,111.8,84.9,86.2,84.1,373,157,,17,8.1,24.3,1,1.4,0.9
Kemp, Tony,643393,82,18.8,42.7,99.8,85.8,88.3,82.9,388,190,,13,7.4,15.9,1,1.2,0.9
Alberto, Hanser,593643,193,13.2,32.6,103.8,82.3,88.4,79.5,391,148,381,40,8.5,20.7,2,1.0,0.9
Urías, Luis,649966,77,2.3,22.1,107.4,87.7,91,87.4,403,107,,21,10.7,27.3,1,1.3,0.8
DeShields, Delino,592261,82,5.8,30.5,102.8,84,89.2,80.8,378,136,,16,8.0,19.5,1,1.2,0.8
Hoerner, Nico,663538,86,0.8,27.9,106.7,87.5,93.5,84,393,132,,32,14.0,37.2,1,1.2,0.8
Inciarte, Ender,542255,94,8.4,29.8,98.5,78.2,85.3,71.2,384,150,384,6,2.4,6.4,1,1.1,0.8
Panik, Joe,605412,93,9.3,34.4,105.8,87.5,91.9,84.7,412,152,412,31,14.9,33.3,1,1.1,0.7
Rojas, Miguel,500743,107,11.9,38.3,107,87.3,88.6,86.6,416,169,389,34,16.3,31.8,1,0.9,0.7
Newman, Kevin,621028,138,8.7,32.6,104.7,85.5,87.7,84.5,381,152,381,39,13.6,28.3,1,0.7,0.6
Akiyama, Shogo,673451,121,2.9,34.7,104,85.1,90.8,80.8,386,134,,32,9.1,26.4,1,0.8,0.5
Wong, Kolten,543939,154,10.8,31.2,103.7,86.5,89.4,85.8,353,145,353,41,11.3,26.6,1,0.6,0.5
Fletcher, David,664058,185,4.1,30.8,107,84.7,86.7,85.2,365,128,359,33,9.8,17.8,1,0.5,0.4
Rivera, René,425784,1,12.1,100.0,103.9,103.9,103.9,,192,192,,1,11.1,100.0,,0.0,0.0
Campusano, Luis,669134,1,21.6,100.0,101.1,101.1,101.1,,343,343,343,1,12.5,100.0,,0.0,0.0
Cordell, Ryan,641477,5,12.2,40.0,110,99.6,99.9,99.1,347,190,,4,30.8,80.0,,0.0,0.0
Alvarez, Yordan,670541,7,6.4,0.0,113.1,98.6,103.3,95,343,125,343,5,35.7,71.4,,0.0,0.0
Hill, Derek,656537,5,8.8,20.0,104.3,96.6,93.5,98.7,337,140,,3,13.6,60.0,,0.0,0.0
